Fri. Sep. 18, 2020             LANDSAT 7                 Time: 13:49
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L2            Path/Row: 039 / 035

L0R Reference Image: L71EDC1899281180600_HDF.202022252
Acquisition Date: Oct 08, 1999

Band Number:  5

GLS date for each WRS-2 path/row used:
Path  Row   Date
038   035   06-13-2000, 07-01-2015
038   036   06-13-2000, 09-19-2015
039   034   07-06-2000, 07-24-2015
039   035   05-03-2000, 07-24-2015
039   036   05-03-2000, 03-04-2016
040   034   06-11-2000, 05-09-2014
040   035   06-11-2000, 04-23-2014


Point_ID         Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                      Scan      Scan      In y      in x
                                                    Residual  Residual    dir       dir
                   (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)
0390350197_01   36.264691 -113.855906   807.597      -4.856     3.411    -5.320     2.618
0390350198_01   35.227185 -114.614898   297.940      -0.400     4.016    -1.019     3.904
0390350199_01   36.200055 -115.290392   764.654      -2.736     1.088    -2.866     0.652
0390350200_01   36.043343 -115.001729   522.170      -1.844    -0.122    -1.801    -0.405
0390350201_01   36.158693 -115.079513   507.194       1.292    -0.366     1.332    -0.163
0390350203_01   35.657041 -114.366914   964.734       3.203     1.388     2.945     1.866
0390350206_01   36.169068 -115.261713   741.110      -1.174     1.120    -1.331     0.924
0390350209_01   35.650789 -114.692201   181.569       0.420     5.296    -0.405     5.296
0390350212_01   36.349366 -114.712180   971.044       0.112     1.350    -0.098     1.349
0390350213_01   35.936991 -114.444772   582.070      -6.384     0.116    -6.321    -0.872
0390350214_01   36.145356 -115.304248   833.791      -3.004     4.736    -3.693     4.210
0390350216_01   36.281067 -114.691434  1094.884      -1.992    -2.229    -1.622    -2.505
0390350218_01   36.265125 -114.061918   731.962      -6.404    -5.175    -5.526    -6.097
0390350219_01   36.686015 -114.813666   906.228      -3.994    -0.216    -3.907    -0.826
0390350220_01   36.692669 -113.859657  1460.250       1.253    -4.920     1.989    -4.660
0390350222_01   36.500280 -114.300484   416.437      -0.434     4.779    -1.165     4.653
0390350223_01   36.180826 -114.557986   477.786       2.898    -0.470     2.933    -0.017
0390350225_01   36.479473 -114.435819   428.130      -0.367    -1.663    -0.107    -1.699
0390350227_01   36.609694 -114.494828   404.774      -3.495    -3.624    -2.895    -4.117
0390350228_01   35.635663 -115.061660  1144.875       2.101    -0.496     2.148    -0.164
0390350230_01   35.721712 -115.132856   951.114       1.747    -6.221     2.686    -5.866
0390350232_01   35.264317 -114.718641  1243.041      -3.274    -1.855    -2.941    -2.337
0390350233_01   36.001898 -114.433364   463.578       0.481     0.297     0.429     0.367
0390350234_01   35.753589 -115.130100   889.483       1.321     1.104     1.133     1.293
0390350236_01   36.390123 -114.002643   745.979      -1.121    -6.039    -0.179    -6.135
0390350238_01   35.165348 -114.350596  1095.452       3.928    -5.518     4.729    -4.831
0390350240_01   35.784239 -114.713865   250.651       4.578     1.798     4.242     2.485
0390350241_01   36.628827 -113.806918  1368.341       1.981    -5.127     2.739    -4.752
0390350245_01   36.028925 -114.089690   780.910      -5.333    -6.111    -4.322    -6.856
0390350246_01   36.737757 -114.212550   409.565      -1.308     0.045    -1.299    -0.156
0390350247_01   35.964845 -115.116464   774.394       0.812    -4.163     1.444    -3.983
0390350252_01   36.187912 -115.200870   640.485       0.360    -6.650     1.382    -6.508
0390350254_01   36.539255 -115.454853   951.272      -2.962    -3.291    -2.415    -3.701
0390350255_01   35.802612 -115.589778   786.999      -1.319    -0.201    -1.269    -0.402
0390350258_01   36.030985 -115.251726   764.144       1.409    -4.271     2.050    -3.997
0390350265_01   36.405173 -113.945563   635.439       0.322    -0.275     0.359    -0.222
0390350267_01   36.072016 -114.351162   351.795       5.163    -2.515     5.487    -1.685
0390350269_01   36.042690 -114.355831   416.801      -3.642     1.230    -3.787     0.652
0390350272_01   36.670837 -114.522084   512.536      -2.132     0.130    -2.126    -0.199
0390350274_01   36.107398 -113.941148   711.336      -3.604    -1.549    -3.320    -2.087
0390350275_01   35.183781 -114.568366   126.971      -1.313    -2.427    -0.921    -2.602
0390350276_01   36.674212 -113.806026  1351.261       5.065    -4.101     5.623    -3.266
0390350277_01   35.999696 -113.969973  1614.392       3.980    -4.009     4.540    -3.336
0390350280_01   36.080564 -114.587763   886.071       2.312    -0.898     2.420    -0.529
0390350284_01   35.505086 -115.613863  1547.568       1.844    -2.521     2.208    -2.200
0390350286_01   35.790182 -114.685480   387.827       2.790     2.477     2.372     2.878
0390350287_01   35.956146 -114.915848   612.656      -0.455     2.259    -0.798     2.159
0390350288_01   35.631536 -114.513853   948.623      -1.393     2.971    -1.834     2.715
0390350289_01   35.811819 -114.644365   569.347       3.801    -3.268     4.256    -2.638
0390350290_01   35.778198 -115.838159  1228.541       4.700    -2.245     4.981    -1.489
0390350291_01   36.093737 -114.929513   493.888      -0.073     0.458    -0.143     0.440
0390350292_01   35.709438 -115.859021  1308.329       3.204     2.985     2.697     3.436
0390350293_01   35.411035 -114.876095   941.374       0.008    -1.875     0.298    -1.848
0390350294_01   35.640127 -115.850727   826.550       2.480    -2.067     2.767    -1.656
0390350295_01   36.413020 -114.649064  1108.958      -2.408    -2.943    -1.923    -3.273
0390350296_01   36.318763 -114.261340   850.143      -3.117     6.648    -4.100     6.081
0390350297_01   35.149724 -114.327383  1025.353       1.872     0.053     1.837     0.344
0390350298_01   36.185694 -115.327422   881.592      -3.758     1.442    -3.928     0.844
0390350301_01   36.233888 -113.817099  1096.957       3.339    -0.782     3.413    -0.256
0390350303_01   35.817759 -115.789094  1043.665       0.907    -4.431     1.581    -4.230
0390350304_01   36.125672 -113.813469  1264.462       1.021     6.790    -0.040     6.856
0390350306_01   36.416433 -114.396394   397.103      -2.783    -0.800    -2.626    -1.219
0390350307_01   36.365732 -115.141300  1136.498      -0.204    -0.049    -0.193    -0.080
0390350309_01   36.070453 -115.090641   563.893       1.103     0.397     1.027     0.562
0390350310_01   36.714246 -113.836614  1469.463       2.198     2.556     1.775     2.859
0390350311_01   36.400448 -114.561808   937.244       0.559     0.233     0.515     0.316
0390350312_01   35.633969 -115.944571   693.823      -0.018    -5.095     0.773    -5.030
0390350314_01   36.418486 -113.980172   745.325      -0.629     5.692    -1.498     5.523
0390350315_01   35.579382 -114.541956  1010.894      -2.301     0.087    -2.284    -0.270
0390350316_01   36.137921 -115.064061   498.000       0.339     3.473    -0.201     3.480
0390350318_01   35.905747 -114.704085   173.016       4.543     4.689     3.762     5.334
0390350322_01   36.586733 -113.749021  1394.773      -0.255     6.931    -1.316     6.799
0390350324_01   35.957580 -114.728167   183.388       2.837     2.829     2.365     3.233
0390350325_01   35.974804 -114.442875   542.890       0.029    -1.748     0.298    -1.721
0390350326_01   35.734445 -115.498129  1342.077      -3.242     4.375    -3.871     3.811
0390350328_01   36.027669 -114.567033   756.737       5.587     1.547     5.275     2.390
0390350329_01   35.818451 -115.010025   518.075       1.554    -3.347     2.052    -3.063
0390350331_01   36.163158 -114.774294   471.477       2.070    -1.269     2.239    -0.934
0390350332_01   36.509985 -114.918782   908.651      -0.139    -2.925     0.313    -2.907
0390350333_01   36.090929 -115.018139   459.079      -1.182    -6.828    -0.113    -6.923
0390350334_01   35.805989 -115.288521   883.044      -1.150    -2.773    -0.705    -2.913
0390350336_01   36.187955 -114.484688   469.683      -2.095    -0.913    -1.928    -1.225
0390350337_01   36.041986 -114.398454   483.481       1.527    -4.327     2.175    -4.036
0390350338_01   36.269440 -114.581610   594.111      -2.533     0.058    -2.509    -0.333
0390350340_01   35.530110 -114.632083   297.074       0.688    -3.165     1.170    -3.019
0390350341_01   35.790885 -114.991484   527.002      -6.054     4.102    -6.610     3.112
0390350343_01   36.556101 -114.144381  1122.946      -6.836     4.382    -7.418     3.272
0390350345_01   35.639922 -114.338653  1016.623       3.596    -1.210     3.734    -0.636
0390350346_01   35.773777 -115.913216  1536.431      -0.337    -5.371     0.499    -5.345
0390350347_01   35.320174 -114.109677  1526.941       1.184     1.774     0.891     1.933
0390350349_01   36.057046 -114.002399   698.612      -2.598     2.373    -2.932     1.941
0390350355_01   35.348582 -114.444958   919.526       5.166    -6.065     6.036    -5.180
0390350356_01   36.079847 -114.206702   665.483       5.921    -3.193     6.336    -2.237
0390350358_01   36.286174 -114.789133   869.745      -5.707    -2.078    -5.311    -2.929
0390350359_01   36.347170 -114.047411   805.730       1.115    -4.462     1.786    -4.233
0390350360_01   35.938673 -114.744014   450.557      -1.343     1.295    -1.527     1.070
0390350361_01   36.012187 -114.309901   472.211      -2.158    -0.965    -1.982    -1.286
0390350365_01   35.674575 -115.428322  1118.075      -5.081     0.078    -5.021    -0.709
0390350367_01   35.400825 -114.657957   175.182       4.787    -0.788     4.849    -0.035
0390350368_01   36.310581 -114.693926  1087.890       3.845     0.730     3.681     1.312
0390350369_01   36.493148 -114.625893   781.894      -0.781    -1.707    -0.509    -1.805
0390350371_01   36.296526 -113.834637   926.236       3.645     6.267     2.632     6.749
0390350372_01   36.016965 -114.680846   668.027      -0.637    -1.762    -0.357    -1.838
0390350373_01   36.694662 -114.888970  1088.249       2.337    -4.348     2.973    -3.930
0390350374_01   36.186415 -114.731266   545.409       1.494     0.929     1.331     1.147
0390350378_01   36.596242 -114.602608   685.748      -1.022    -0.124    -0.990    -0.279
0390350380_01   36.473223 -113.911094   876.377      -3.424    -2.833    -2.945    -3.324
0390350381_01   36.429209 -115.242563  1178.263      -4.075    -0.398    -3.956    -1.018
0390350383_01   36.454870 -115.352779   907.188      -1.495     0.611    -1.568     0.372
0390350386_01   36.430377 -113.884727   715.719      -5.270     7.023    -6.284     6.122
0390350387_01   36.920811 -115.377438  1402.181       1.942    -3.618     2.470    -3.270
0390350388_01   36.372272 -114.493500   908.091       2.104    -1.536     2.312    -1.192
0390350389_01   35.810171 -114.711802   174.890       4.224     4.718     3.441     5.313
0390350390_01   35.298276 -115.122503  1318.077      -1.190     0.057    -1.182    -0.128
0390350391_01   35.679263 -114.614113   544.734       5.424    -2.212     5.696    -1.344
0390350394_01   35.539909 -116.016641   643.884       4.997    -3.906     5.537    -3.081
0390350395_01   35.701529 -115.020613   742.607       1.158    -2.987     1.605    -2.768
0390350397_01   36.174133 -114.697622   412.152       4.518     1.288     4.262     1.969
0390350399_01   36.560411 -113.906619  1017.269      -1.162     0.182    -1.176     0.001
0390350400_01   36.269294 -114.262389   899.699       2.446     0.865     2.280     1.231
0390350402_01   35.450521 -116.001190   800.701       2.214     2.816     1.748     3.120
0390350403_01   35.362358 -115.139176  1503.937      -1.095    -0.695    -0.971    -0.854
0390350406_01   36.677093 -115.409139  1300.081      -2.676    -1.980    -2.333    -2.363
0390350407_01   36.633353 -115.585200  1148.933      -2.264     6.712    -3.262     6.271
0390350409_01   36.453632 -115.380586   863.380      -2.762     0.354    -2.779    -0.075
0390350410_01   36.880586 -115.266231  1427.998      -3.132    -6.135    -2.147    -6.527
0390350411_01   35.510862 -115.975633   868.445       3.263     0.578     3.129     1.074
0390350413_01   36.895686 -115.087761  1544.163      -3.895    -4.093    -3.212    -4.630
0390350414_01   36.863963 -115.391452  1259.212      -0.193    -5.938     0.721    -5.885
0390350416_01   36.659623 -114.864407   987.787      -1.419    -4.737    -0.672    -4.891
0390350419_01   36.571366 -115.724082   974.704       2.537     0.160     2.479     0.546
0390350420_01   35.425252 -115.810835  1311.904       1.002     2.531     0.596     2.649
0390350421_01   35.404873 -115.945933  1039.992       1.688     0.752     1.549     1.002
0390350423_01   35.428057 -115.850449  1194.038       5.670     1.891     5.297     2.740
0390350425_01   35.388730 -116.053151   532.083       3.705     3.679     3.085     4.203
0390350426_01   36.414713 -115.742396  1870.794      -2.965     1.442    -3.140     0.964
0390350427_01   35.789365 -113.980300  1569.030      -6.104     5.028    -6.795     4.013
0390350430_01   36.006745 -115.836815   861.125       0.138     1.942    -0.163     1.936
0390350431_01   35.310478 -115.268065  1347.911      -1.758     0.982    -1.884     0.695
0390350432_01   35.883747 -115.735832   850.211      -1.655    -3.144    -1.145    -3.357
0390350433_01   35.462113 -115.819552  1247.737       0.631     1.522     0.387     1.598
0390350434_01   35.434383 -115.699990  1095.786      -1.208     0.244    -1.228     0.053
0390350435_01   35.445179 -115.557006  1659.143      -2.733     2.556    -3.087     2.095
0390350436_01   35.438791 -114.027110   984.917       2.141     3.010     1.645     3.303
0390350443_01   35.371389 -115.805340  1188.132      -3.675    -4.241    -2.963    -4.750
0390350444_01   35.361140 -115.541033  1493.164      -1.418    -2.562    -0.999    -2.745
0390350445_01   36.003277 -115.813565   865.564      -2.102     0.641    -2.171     0.308
0390350446_01   35.395007 -115.523872  1586.004      -2.519    -1.468    -2.253    -1.836
0390350447_01   36.174012 -115.850970  1079.595       1.317    -0.573     1.388    -0.363
0390350448_01   35.369177 -115.861503  1009.416       3.008     0.987     2.814     1.439
0390350449_01   35.328278 -115.263711  1210.957      -3.524     0.260    -3.514    -0.290
0390350450_01   35.444396 -115.232141  1026.765      -2.576    -1.661    -2.283    -2.037
0390350451_01   35.976022 -115.819601   836.626      -0.021     0.957    -0.168     0.940
0390350453_01   35.471419 -114.013038   907.572       5.101    -1.932     5.331    -1.114
0390350454_01   35.725563 -113.982382   940.806       4.847     2.841     4.343     3.555
0390350455_01   36.090483 -115.797903  1021.640      -3.003     3.342    -3.476     2.832
0390350459_01   35.828719 -113.912719  1600.566      -1.420     5.082    -2.186     4.791
0390350460_01   35.785862 -114.003317  1492.270       3.656     4.053     2.977     4.563
0390350463_01   36.508250 -115.690658  1385.161       4.384     6.100     3.384     6.684
0390350464_01   36.750110 -115.674705  1000.850       0.187    -5.978     1.103    -5.868
0390350467_01   35.725808 -113.937302  1055.048       2.032     2.647     1.594     2.927
0390350468_01   36.813195 -115.657504  1108.928      -1.229     3.853    -1.802     3.611
0390350469_01   36.769734 -115.687872  1196.833       4.309    -0.406     4.312     0.259
0390350470_01   36.840850 -115.641912   946.751       3.069     3.373     2.511     3.796
0390350472_01   35.976750 -114.844071   736.000       1.710     1.280     1.490     1.527
0390350473_01   36.056846 -114.970106   508.000       1.476     0.308     1.410     0.531
0390350475_01   35.248155 -114.037733  1028.676      -0.236    -1.965     0.070    -1.975
0390350477_01   35.459346 -114.465292  1042.634      -3.039    -0.731    -2.885    -1.192
0390350478_01   35.142325 -114.089326   873.890       5.432     3.858     4.759     4.653
0390350480_01   35.217411 -114.051718  1038.594       0.753     5.464    -0.106     5.508
0390350482_01   36.688809 -114.621230   497.000       1.296     2.108     0.956     2.281
0390350483_01   36.704101 -114.656357   532.000       1.123    -0.625     1.205    -0.445
0390350486_01   36.197004 -115.194684   634.000      -1.495    -5.473    -0.631    -5.632
0390350487_01   36.124623 -115.079014   516.000      -0.860     2.558    -1.244     2.392
0390350488_01   35.136980 -114.114835   838.361       3.982     4.092     3.292     4.659
0390350489_01   36.232546 -115.047334   537.000      -0.310     0.974    -0.455     0.913
0390350490_01   36.184133 -115.131280   550.000      -0.182     2.228    -0.523     2.171
0390350493_01   35.193270 -114.060485   991.144       0.055     5.272    -0.765     5.211
0390350494_01   36.290391 -115.013152   613.000       2.064     1.015     1.881     1.319
0390350495_01   36.128492 -115.298606   805.251      -4.126     4.730    -4.800     4.030
0390350498_01   35.267433 -114.030115  1015.471      -1.082     1.370    -1.282     1.184
0390350503_01   36.167588 -115.060287   507.000       1.346    -1.407     1.546    -1.181
0390350504_01   36.197270 -115.248398   695.000      -1.373     1.586    -1.598     1.353
0390350506_01   36.050893 -115.018530   506.000       3.766     4.568     3.012     5.090
0390350507_01   36.225707 -115.126614   559.000       4.580     4.050     3.897     4.703
0390350508_01   35.997413 -114.942339   645.000       2.249    -2.097     2.544    -1.722
0390350509_01   36.124956 -115.241006   691.000      -2.000    -1.419    -1.754    -1.709
0390350510_01   36.010428 -115.177990   665.000       3.231    -5.708     4.071    -5.134
0390350511_01   36.218655 -115.074391   533.000       0.188     1.787    -0.090     1.792
0390350513_01   35.222818 -114.176733   856.590       1.702     5.817     0.776     6.005
0390350515_01   36.104823 -115.143824   593.000       0.325     3.602    -0.234     3.605
0390350518_01   36.030152 -115.176870   661.000       0.682    -3.148     1.160    -3.002
0390350520_01   36.077469 -115.106485   573.000       0.011     0.749    -0.104     0.741
0390350521_01   36.346171 -114.922163   714.000       1.896     1.251     1.679     1.527
0390350526_01   36.073315 -115.083260   565.000      -0.062     1.802    -0.339     1.769
0390350527_01   36.259460 -115.039320   569.000      -4.058    -2.593    -3.605    -3.184
0390350528_01   35.943832 -115.209454   886.000      -3.090     0.096    -3.062    -0.383
0390350529_01   36.098692 -115.114977   578.000       0.527     0.662     0.418     0.734
0390350530_01   36.008764 -114.989634   660.000       1.491     1.194     1.287     1.408
0390350531_01   36.108037 -115.056746   492.000       2.486     3.238     1.955     3.580
0390350534_01   36.159619 -115.190218   622.000       0.737    -2.133     1.057    -1.991
0390350536_01   36.041133 -115.050073   551.000       0.268    -2.150     0.596    -2.081
0390350539_01   36.240540 -115.230404   672.000      -1.018    -0.503    -0.927    -0.653
0390350540_01   35.451285 -113.985350   891.091      -3.325    -0.128    -3.262    -0.643
0390350541_01   36.021997 -115.121798   633.000       0.239     3.778    -0.347     3.765
0390350542_01   36.127459 -115.209629   653.000      -0.970    -2.525    -0.567    -2.641
0390350544_01   36.269197 -115.266496   707.406      -4.802     3.289    -5.245     2.506
0390350546_01   36.000679 -114.062411   866.770      -2.866     0.903    -2.969     0.448
0390350547_01   36.006179 -114.965073   645.000      -0.207    -5.298     0.614    -5.261
0390350548_01   36.648630 -114.586549   490.000      -0.950     3.511    -1.477     3.321
0390350552_01   36.218005 -115.224241   664.000      -1.764    -1.353    -1.532    -1.607
0390350554_01   35.818174 -115.009736   518.000       0.781    -2.791     1.203    -2.634
0390350555_01   35.609641 -115.386826   768.000      -2.725    -0.050    -2.680    -0.471
0390350556_01   36.205323 -115.137451   565.000      -0.425    -1.249    -0.226    -1.298
0390350557_01   35.217709 -114.120217  1011.783       4.589     7.086     3.426     7.705
0390350559_01   35.559833 -114.046494   824.271       5.005     5.848     4.033     6.549
0390350560_01   36.072654 -114.993341   468.000      -1.247     0.757    -1.347     0.555
0390350561_01   36.092902 -115.195085   653.000      -0.652     3.837    -1.235     3.686
0390350564_01   36.115884 -115.267881   733.000      -2.488    -1.746    -2.185    -2.106
0390350566_01   35.184242 -114.526549   315.513       2.430    -0.115     2.416     0.265
0390350568_01   36.027024 -114.965865   583.000       0.859    -3.311     1.360    -3.135
0390350570_01   35.790915 -115.256698   818.000      -6.614     1.013    -6.681    -0.023
0390350571_01   36.171610 -115.091884   516.000      -1.337     0.899    -1.458     0.681
0390350574_01   35.955482 -114.849293   663.000       3.082     3.231     2.542     3.665
0390350576_01   35.594173 -113.927341   844.242       3.430     2.406     3.011     2.908
0390350577_01   36.027617 -115.084043   614.000      -0.320     6.434    -1.309     6.300
0390350580_01   35.889664 -115.221981   892.000      -1.437    -2.801    -0.985    -2.984
0390350581_01   36.224816 -115.264475   692.852      -2.560     2.805    -2.958     2.373
0390350582_01   36.518663 -114.436169   357.000       4.698    -0.740     4.753    -0.007
0390350583_01   36.157750 -115.283305   793.089      -1.590     5.689    -2.446     5.367
0390350584_01   35.964846 -115.168720   726.000       1.585     2.955     1.108     3.160
0390350585_01   36.131091 -115.111541   547.000      -1.216     3.345    -1.716     3.115
0390350586_01   35.190213 -114.437767   716.077       3.150     1.956     2.804     2.420
0390350587_01   36.802646 -114.894082   640.000       1.873    -0.653     1.949    -0.357
0390350590_01   36.086443 -115.058947   500.000       1.681     0.831     1.531     1.080
0390350591_01   36.243961 -115.101139   560.000       2.616     5.380     1.754     5.714
0390350594_01   36.101475 -115.226212   677.000      -0.620    -0.197    -0.581    -0.290
0390350595_01   35.361620 -115.492498  1424.654      -1.736     5.007    -2.486     4.665
0390350596_01   36.196548 -115.028889   554.000       0.949     2.025     0.625     2.145
0390350597_01   36.239907 -115.206063   647.000       0.644    -1.860     0.923    -1.736
0390350598_01   36.233350 -115.183851   639.000       0.363    -5.222     1.164    -5.098
0390350599_01   36.158388 -115.233924   686.000      -3.108    -2.255    -2.718    -2.704
0390350600_01   36.235710 -115.025539   535.000      -2.169    -2.673    -1.728    -2.973
0390350602_01   36.194508 -115.226121   669.000      -0.432     0.982    -0.577     0.902
0390350603_01   35.538758 -115.406113   766.744      -3.641    -1.543    -3.352    -2.086
0390350604_01   35.603847 -114.064067   813.162      -6.027     5.359    -6.778     4.354
0390350606_01   36.201572 -115.284019   754.273       0.095     6.210    -0.863     6.142
0390350608_01   36.313240 -114.941072   692.000       2.442    -1.314     2.613    -0.920
0390350609_01   35.392992 -114.298276   991.159      -0.817    -0.215    -0.774    -0.339
0390350610_01   36.189483 -115.162513   601.000      -1.220    -2.467    -0.824    -2.623
0390350611_01   36.191055 -115.090076   524.000       0.188     3.977    -0.428     3.954
0390350613_01   35.537154 -113.949421   864.172       4.521    -6.813     5.514    -6.021
0390350614_01   36.802324 -114.922004   677.000      -0.498     1.715    -0.754     1.617
0390350615_01   36.313223 -114.438245   372.000      -0.371     2.537    -0.758     2.448
0390350618_01   36.222637 -114.878714   531.000      -0.865    -2.979    -0.395    -3.074
0390350619_01   36.059767 -115.048275   511.000       1.478    -3.596     2.014    -3.322
0390350620_01   35.213760 -114.569161   172.014      -0.427    -2.431    -0.045    -2.467
0390350622_01   36.218954 -115.308330   783.987       0.661     5.234    -0.154     5.265
0390350623_01   36.369761 -114.879730   709.000       3.492    -3.062     3.917    -2.485
0390350624_01   36.491177 -114.555617   661.000       2.683    -3.632     3.207    -3.173
0390350625_01   35.778558 -115.319049   843.000      -1.638    -1.604    -1.367    -1.835
0390350626_01   36.053602 -115.119378   596.000       1.705     3.080     1.208     3.302
0390350627_01   35.452019 -114.516072   850.000      -2.338     3.444    -2.841     3.035
0390350628_01   35.221784 -114.260825   824.716       1.727     2.728     1.279     2.961
0390350635_01   35.754184 -114.698133   178.000      -0.386     0.178    -0.409     0.116
0390350637_01   35.473959 -115.523104  1390.798      -1.306     0.680    -1.391     0.468
0390350639_01   36.136430 -115.507484  1877.617      -1.572     2.408    -1.918     2.129
0390350642_01   35.743643 -115.260732   874.000       5.914    -2.905     6.283    -1.952
0390350644_01   35.149353 -114.239185   744.919       4.724    -1.223     4.850    -0.471
0390350645_01   36.175781 -115.221871   672.000      -6.026     0.511    -6.025    -0.424
0390350646_01   35.650473 -114.207125  1052.353       0.447     2.948    -0.016     2.978
0390350647_01   35.570509 -115.566408  1738.299      -0.228     6.705    -1.261     6.568
0390350648_01   35.794356 -114.140050   846.419       2.131     1.232     1.912     1.546
0390350649_01   36.166123 -115.036645   512.000       0.038    -0.835     0.166    -0.818
0390350651_01   36.158794 -113.921480   742.679      -0.342    -3.887     0.260    -3.890
0390350654_01   36.471433 -114.200038   661.238      -4.077    -3.715    -3.454    -4.296
0390350655_01   36.142377 -114.734173   390.000      -1.048     3.021    -1.501     2.821
0390350656_01   35.177180 -114.250119   778.153       4.102    -5.845     4.954    -5.129
0390350657_01   36.584044 -114.458821   389.000       1.868     1.327     1.641     1.598
0390350659_01   36.551142 -114.539661   603.000      -0.306    -3.101     0.174    -3.108
0390350660_01   36.215276 -114.700032   590.000      -3.377     0.348    -3.388    -0.177
0390350662_01   36.661683 -114.631451   468.000       1.766    -0.191     1.773     0.083
0390350664_01   36.469417 -114.535875   657.000      -0.219    -3.653     0.345    -3.640
0390350665_01   36.624266 -114.481298   413.000      -3.998     0.967    -4.097     0.341
0390350667_01   36.387564 -114.923389   658.000       5.590    -0.590     5.608     0.278
0390350669_01   36.130581 -115.148215   593.000       0.462    -1.321     0.660    -1.232
0390350670_01   36.047496 -115.386604   968.121      -0.250    -4.519     0.451    -4.496
0390350672_01   36.116303 -114.921574   403.000       1.443     1.702     1.162     1.903
0390350673_01   36.430906 -114.897133   603.000      -2.845    -1.589    -2.564    -2.006
0390350674_01   36.145002 -115.261905   744.000      -2.165     1.050    -2.297     0.703
0390350675_01   36.069456 -114.811567   353.000       5.264     0.694     5.091     1.498
0390350678_01   35.588764 -114.275161   995.597       2.233    -0.400     2.263    -0.048
0390350682_01   36.049507 -115.278325   788.000       0.054     2.187    -0.283     2.166
0390350684_01   36.193126 -115.067673   519.000      -0.117     1.998    -0.423     1.954
0390350685_01   36.517083 -115.586613  1065.567       2.027    -4.796     2.738    -4.419
0390350688_01   36.195722 -114.640563   693.000       0.763    -1.264     0.948    -1.130
0390350690_01   36.094706 -114.954793   428.000       0.804    -0.809     0.919    -0.675
0390350692_01   35.352677 -114.167270  1145.181      -1.831     4.549    -2.513     4.203
0390350693_01   36.067202 -114.928191   554.000       3.896    -0.883     3.983    -0.271
0390350694_01   36.160738 -115.122496   548.000       0.019     3.329    -0.495     3.289
0390350697_01   35.949044 -114.806589   669.000      -0.229     1.902    -0.520     1.841
0390350698_01   36.312939 -115.189345   677.000      -1.510    -4.207    -0.841    -4.384
0390350699_01   36.182728 -113.905882   660.735      -1.392     1.080    -1.542     0.851
0390350700_01   35.217740 -114.144935   914.354       1.486     4.358     0.788     4.532
0390350702_01   36.530613 -114.540986   619.000       5.103    -0.298     5.084     0.491
0390350706_01   36.157908 -114.919126   464.000       3.556    -1.529     3.747    -0.961
0390350707_01   36.147948 -114.590996   343.000       0.631     2.515     0.235     2.581
0390350708_01   36.133311 -115.393519  1048.220      -4.111     3.259    -4.556     2.580
0390350709_01   35.478116 -115.548472  1446.446       0.304    -4.733     1.033    -4.617
0390350712_01   35.683654 -115.137369  1240.000      -0.238    -0.732    -0.121    -0.758
0390350713_01   36.030737 -115.308711   849.369      -2.904    -1.266    -2.668    -1.696
0390350715_01   35.545286 -113.971586   842.561       3.876    -2.052     4.142    -1.423
0390350716_01   35.970406 -114.402110   585.000      -1.407     0.429    -1.456     0.206
0390350717_01   35.781492 -115.839752  1321.936       2.531     4.552     1.792     4.876
0390350719_01   36.274783 -115.316811   812.517      -0.425    -6.241     0.543    -6.223
0390350721_01   36.239989 -114.677615   967.000      -2.304    -5.990    -1.351    -6.264
0390350723_01   35.550415 -115.429041   787.113       0.722     3.357     0.192     3.423
0390350724_01   36.578391 -114.536437   538.000       4.261    -2.309     4.561    -1.625
0390350725_01   36.803828 -114.945834   744.000       4.238    -1.380     4.394    -0.713
0390350732_01   36.659202 -114.311373   370.000       2.433     0.029     2.398     0.403
0390350734_01   36.067680 -115.461799  1137.879      -6.395     0.174    -6.331    -0.813
0390350735_01   36.216046 -115.097486   537.000       0.658     3.191     0.158     3.251
0390350736_01   36.677827 -114.681645   493.000      -1.553     1.020    -1.690     0.769
0390350737_01   36.041543 -114.992799   530.000      -1.075    -1.685    -0.801    -1.829
0390350739_01   35.494848 -114.684063   174.000       1.727     5.258     0.889     5.461
0390350742_01   36.139832 -114.936942   567.000      -1.078    -1.258    -0.869    -1.408
0390350745_01   36.518810 -115.550387   962.013       4.099    -2.755     4.468    -2.089
0390350747_01   36.026179 -113.821413  1149.382       3.390     2.784     2.913     3.272
0390350748_01   35.495944 -114.521648   910.000       0.496     1.288     0.289     1.347
0390350750_01   36.322625 -114.728645  1034.000       0.108     1.893    -0.185     1.884
0390350751_01   36.759680 -115.458811  1042.906       2.373     1.622     2.093     1.962
0390350753_01   36.496519 -114.759071   590.000       1.272     0.020     1.252     0.216
0390350755_01   35.222159 -114.350737   938.431      -2.667    -5.698    -1.748    -6.036
0390350760_01   36.230584 -113.968735   544.696      -5.165     2.285    -5.454     1.459
0390350761_01   36.187658 -114.615792   625.000      -0.268     0.571    -0.353     0.522
0390350762_01   36.796769 -114.639396   500.000       0.590    -1.916     0.877    -1.801
0390350763_01   36.277882 -115.058233   592.000      -2.088     0.187    -2.089    -0.137
0390350764_01   36.705971 -114.252312   404.000       0.024    -4.347     0.691    -4.290
